road,num_properties,insulated_roof,insulated_walls,insulated_windows,insulated_floor,avg_CO2_emissions,avg_energy_consumption,avg_energy_efficiency,good_rating
 Newport Road,51,8,2,78,6,53,285,60,78
 Nire Road,53,2,11,100,42,32,173,72,100
 Norcot Road,135,12,27,87,2,51,282,58,67
 Norfolk Road,53,13,4,83,0,53,294,57,60
 Northcourt Avenue,80,12,35,81,15,48,274,58,60
 Northumberland Avenue,223,22,41,86,4,50,283,61,75
 Norton Road,63,3,2,68,2,53,304,61,89
 Oxford Road,309,28,7,85,7,55,312,58,71
 Oxford Street,56,11,0,86,4,55,316,59,77
 Park Lane,60,8,33,87,0,53,301,57,68
 Pell Street,59,10,8,76,7,51,282,60,71
 Peppard Road,116,15,22,81,9,45,259,59,68
 Pitcroft Avenue,115,4,2,79,0,51,292,60,85
 Prince of Wales Avenue,86,12,1,76,3,53,298,59,73
 Prospect Street,58,31,9,67,12,65,381,53,55
 Queens Road,137,18,3,74,7,55,314,59,76
 Radstock Road,77,4,1,75,1,52,295,57,73
 Recreation Road,56,5,11,84,2,57,318,52,52
 Redlands Road,52,50,8,46,0,70,404,51,52
 Rodway Road,167,8,59,95,0,49,278,62,82
 Rotherfield Way,60,3,43,92,2,50,278,58,62
 Rowe Court,76,66,0,96,3,72,444,55,43
 Ruskin,57,32,0,100,95,30,179,76,98
 Russell Street,53,57,2,66,2,60,353,56,58
 Salisbury Road,97,13,1,82,3,57,322,56,67
 Severn Way,66,30,80,98,0,42,238,65,92
 Shaftesbury Road,106,8,8,84,5,54,309,60,80
 Sheridan Avenue,64,14,45,80,0,55,312,59,69
 Sherman Road,67,6,3,88,1,51,295,60,81
 Sherwood Street,124,5,7,84,1,54,308,58,73
 Shinfield Road,90,18,23,79,3,56,315,54,53
 South Street,70,31,3,70,0,57,328,56,67
 South View Avenue,52,8,17,75,0,54,303,56,65
 Southampton Street,104,29,5,63,5,59,339,55,60
 Southcote Lane,175,16,62,95,5,42,235,64,86
 Spey Road,90,87,79,92,74,24,142,78,92
 St. Georges Road,88,14,11,83,10,54,313,60,69
 St. Johns Road,87,6,2,86,5,51,290,60,77
 St. Michaels Road,65,6,43,92,3,52,295,57,62
 St. Peters Avenue,69,19,35,75,7,45,253,60,71
 St. Peters Road,87,6,8,77,2,55,310,55,57
 St. Saviours Road,56,4,43,96,0,47,265,60,82
 Stanhope Road,71,15,21,89,0,59,331,56,65
 Star Road,73,14,4,81,5,56,322,56,74
 Staverton Road,90,14,70,84,0,45,251,64,81
 Surley Row,54,20,41,61,2,47,266,58,69
 Surrey Road,53,8,2,72,2,55,315,57,74
 Swainstone Road,77,4,5,75,1,51,293,58,71
 Swallows Croft,124,22,5,100,48,39,223,70,99
 Swansea Road,63,0,2,83,0,53,300,58,71
 Tay Road,105,64,64,96,78,30,174,77,98
