road,num_properties,properties_roof_insulation,properties_walls_insulation,properties_windows_insulation,properties_floor_insulation,perc_properties_roof_insulation,perc_properties_walls_insulation,perc_properties_windows_insulation,perc_properties_floor_insulation,avg_CO2_emissions,avg_energy_consumption,avg_energy_efficiency,properties_A_rating,properties_B_rating,properties_C_rating,properties_D_rating,properties_E_rating,properties_F_rating,properties_G_rating,perc_properties_A_rating,perc_properties_B_rating,perc_properties_C_rating,perc_properties_D_rating,perc_properties_E_rating,perc_properties_F_rating,perc_properties_G_rating
 Talbot Close (RG4),9,1,2,8,0,11,22,89,0,55,328,55,0,0,0,8,0,0,1,0,0,0,89,0,0,11
 Talbot Court (RG1),12,11,0,11,0,92,0,92,0,72,433,62,0,0,3,8,0,1,0,0,0,25,67,0,8,0
 Talfourd Avenue (RG6),33,3,0,10,0,9,0,30,0,58,332,50,0,0,1,12,19,0,1,0,0,3,36,58,0,3
 Tallis Lane (RG30),15,0,4,15,0,0,27,100,0,43,244,63,0,0,6,6,3,0,0,0,0,40,40,20,0,0
 Tamar Gardens (RG2),1,0,1,1,0,0,100,100,0,31,162,73,0,0,1,0,0,0,0,0,0,100,0,0,0,0
 Tamarisk Avenue (RG2),22,4,9,18,0,18,41,82,0,51,291,57,0,0,3,10,7,2,0,0,0,14,45,32,9,0
 Tamesis Place (RG4),27,24,0,27,13,89,0,100,48,34,194,72,0,1,20,6,0,0,0,0,4,74,22,0,0,0
 Tanfields (RG1),11,10,1,11,5,91,9,100,45,54,330,56,0,0,2,5,4,0,0,0,0,18,45,36,0,0
 Tarlton Court (RG30),9,1,4,9,0,11,44,100,0,38,208,68,0,0,6,3,0,0,0,0,0,67,33,0,0,0
 Tavistock Road (RG2),37,5,21,33,0,14,57,89,0,48,264,60,0,0,8,18,10,1,0,0,0,22,49,27,3,0
 Tay Road (RG30),105,67,67,101,82,64,64,96,78,30,174,77,0,64,16,23,2,0,0,0,61,15,22,2,0,0
 Taynton Walk (RG2),9,6,1,8,0,67,11,89,0,42,241,67,0,0,5,4,0,0,0,0,0,56,44,0,0,0
 Templeton Gardens (RG2),8,0,2,8,0,0,25,100,0,60,308,52,0,0,0,3,4,1,0,0,0,0,38,50,12,0
 Tenby Avenue (RG4),14,0,2,14,0,0,14,100,0,53,293,55,0,0,0,5,9,0,0,0,0,0,36,64,0,0
