road,num_properties,properties_roof_insulation,properties_walls_insulation,properties_windows_insulation,properties_floor_insulation,perc_properties_roof_insulation,perc_properties_walls_insulation,perc_properties_windows_insulation,perc_properties_floor_insulation,avg_CO2_emissions,avg_energy_consumption,avg_energy_efficiency,properties_A_rating,properties_B_rating,properties_C_rating,properties_D_rating,properties_E_rating,properties_F_rating,properties_G_rating,perc_properties_A_rating,perc_properties_B_rating,perc_properties_C_rating,perc_properties_D_rating,perc_properties_E_rating,perc_properties_F_rating,perc_properties_G_rating
 Welland Close (RG31),5,2,2,5,0,40,40,100,0,58,315,50,0,0,0,2,2,1,0,0,0,0,40,40,20,0
 Wellington Avenue (RG2),5,0,2,2,1,0,40,40,20,44,252,59,0,0,1,2,2,0,0,0,0,20,40,40,0,0
 Wellswood Gardens (RG1),24,23,12,24,24,96,50,100,100,10,56,88,0,24,0,0,0,0,0,0,100,0,0,0,0,0
 Wendover Way (RG30),31,2,8,27,1,6,26,87,3,56,303,53,0,1,2,15,9,3,1,0,3,6,48,29,10,3
 Wensley Road (RG1),169,47,116,168,1,28,69,99,1,49,274,64,0,3,62,81,17,6,0,0,2,37,48,10,4,0
 Wentworth Avenue (RG2),32,11,23,32,0,34,72,100,0,43,242,66,0,0,12,19,1,0,0,0,0,38,59,3,0,0
 West Hill (RG1),12,1,1,11,0,8,8,92,0,50,286,60,0,0,1,8,3,0,0,0,0,8,67,25,0,0
 Westbourne Terrace (RG30),41,6,12,39,10,15,29,95,24,45,247,64,0,1,12,22,5,1,0,0,2,29,54,12,2,0
 Westbrook Road (RG30),11,4,2,11,0,36,18,100,0,48,267,61,0,1,3,6,0,1,0,0,9,27,55,0,9,0
 Westcote Road (RG30),14,11,7,14,3,79,50,100,21,32,187,71,0,4,6,3,1,0,0,0,29,43,21,7,0,0
 Westdene Crescent (RG4),13,0,7,12,0,0,54,92,0,53,290,57,0,0,1,6,6,0,0,0,0,8,46,46,0,0
 Westerham Walk (RG2),8,5,1,8,0,62,12,100,0,36,203,70,0,0,5,3,0,0,0,0,0,62,38,0,0,0
 Western Elms Avenue (RG30),30,12,2,23,3,40,7,77,10,56,310,57,0,0,7,12,8,3,0,0,0,23,40,27,10,0
 Western Road (RG1),42,2,0,31,0,5,0,74,0,55,316,59,0,0,6,28,6,1,1,0,0,14,67,14,2,2
 Westfield Road (RG4),104,13,1,79,1,12,1,76,1,60,344,56,0,0,10,59,27,6,2,0,0,10,57,26,6,2
 Westonbirt Drive (RG4),2,1,1,1,0,50,50,50,0,66,270,45,0,0,0,1,0,1,0,0,0,0,50,0,50,0
 Westwood Glen (RG31),12,1,5,10,2,8,42,83,17,44,248,62,0,2,0,6,4,0,0,0,17,0,50,33,0,0
 Westwood Road (RG31),79,11,32,66,11,14,41,84,14,47,270,58,0,1,20,34,18,4,2,0,1,25,43,23,5,3
 Wetherby Close (RG4),7,2,4,7,0,29,57,100,0,45,248,59,0,0,2,2,3,0,0,0,0,29,29,43,0,0
 Whale Avenue (RG2),13,5,0,13,12,38,0,100,92,24,138,79,0,4,9,0,0,0,0,0,31,69,0,0,0,0
 Wheatley Close (RG2),5,1,2,5,0,20,40,100,0,38,219,67,0,0,1,4,0,0,0,0,0,20,80,0,0,0
 Whitby Court (RG4),3,3,2,3,0,100,67,100,0,40,227,71,0,0,2,1,0,0,0,0,0,67,33,0,0,0
 Whitby Drive (RG1),16,3,2,12,0,19,12,75,0,53,306,57,0,0,3,8,4,1,0,0,0,19,50,25,6,0
 Whitby Green (RG4),16,2,11,11,1,12,69,69,6,45,251,64,0,0,5,9,2,0,0,0,0,31,56,12,0,0
 Whiteknights Road (RG6),33,3,11,18,0,9,33,55,0,51,284,54,0,1,2,15,12,3,0,0,3,6,45,36,9,0
 Whitley Park Lane (RG2),6,0,0,4,1,0,0,67,17,52,302,61,0,0,2,2,2,0,0,0,0,33,33,33,0,0
 Whitley Rise (RG2),22,22,18,22,21,100,82,100,95,11,77,85,0,18,4,0,0,0,0,0,82,18,0,0,0,0
 Whitley Street (RG2),26,2,1,25,0,8,4,96,0,60,353,53,0,0,3,15,5,0,3,0,0,12,58,19,0,12
 Whitley Wood Lane (RG2),89,12,20,86,2,13,22,97,2,52,290,57,0,1,17,39,26,6,0,0,1,19,44,29,7,0
 Whitley Wood Road (RG2),150,38,60,142,11,25,40,95,7,45,255,63,2,7,34,73,30,3,1,1,5,23,49,20,2,1
 Whitstone Gardens (RG2),6,4,6,6,0,67,100,100,0,41,231,68,0,0,2,4,0,0,0,0,0,33,67,0,0,0
 Wigmore Lane (RG30),2,1,1,2,0,50,50,100,0,44,243,66,0,0,0,2,0,0,0,0,0,0,100,0,0,0
 William Street (RG1),28,12,1,24,3,43,4,86,11,41,231,68,0,0,15,9,4,0,0,0,0,54,32,14,0,0
 Willow Gardens (RG2),3,0,0,3,0,0,0,100,0,58,338,52,0,0,0,2,1,0,0,0,0,0,67,33,0,0
 Wilson Road (RG30),70,18,1,61,5,26,1,87,7,64,359,59,0,1,10,40,15,3,1,0,1,14,57,21,4,1
 Wilton Road (RG30),26,5,2,22,0,19,8,85,0,56,313,55,0,0,2,17,3,2,2,0,0,8,65,12,8,8
 Wilwyne Close (RG4),5,0,5,4,0,0,100,80,0,44,247,60,0,0,1,4,0,0,0,0,0,20,80,0,0,0
 Wimborne Gardens (RG30),2,0,2,2,0,0,100,100,0,47,266,61,0,0,1,0,1,0,0,0,0,50,0,50,0,0
 Wincanton Road (RG2),43,7,30,43,1,16,70,100,2,44,247,64,0,2,11,23,7,0,0,0,5,26,53,16,0,0
 Winchester Road (RG2),31,0,5,27,1,0,16,87,3,50,282,60,0,1,2,20,8,0,0,0,3,6,65,26,0,0
 Wincroft Road (RG4),9,3,6,8,0,33,67,89,0,57,342,53,0,0,1,5,1,2,0,0,0,11,56,11,22,0
 Windermere Close (RG2),6,6,6,6,6,100,100,100,100,11,60,87,0,6,0,0,0,0,0,0,100,0,0,0,0,0
 Windermere Road (RG2),98,61,20,95,3,62,20,97,3,61,345,60,0,3,20,49,22,4,0,0,3,20,50,22,4,0
 Windrush Court (RG30),8,0,2,6,0,0,25,75,0,32,167,70,0,1,5,2,0,0,0,0,12,62,25,0,0,0
 Windrush Way (RG30),17,1,9,17,0,6,53,100,0,59,333,57,0,1,1,9,4,2,0,0,6,6,53,24,12,0
 Wingrove Road (RG30),16,1,0,16,13,6,0,100,81,29,165,74,0,1,12,3,0,0,0,0,6,75,19,0,0,0
 Winser Drive (RG30),24,2,13,17,1,8,54,71,4,47,256,60,0,1,0,18,5,0,0,0,4,0,75,21,0,0
 Winslet Place (RG30),33,33,0,33,16,100,0,100,48,54,331,70,0,0,22,11,0,0,0,0,0,67,33,0,0,0
 Winterberry Way (RG4),14,1,1,14,1,7,7,100,7,47,264,58,0,0,0,9,5,0,0,0,0,0,64,36,0,0
 Winton Road (RG2),63,6,39,61,0,10,62,97,0,48,270,61,0,1,13,38,8,3,0,0,2,21,60,13,5,0
 Woburn Close (RG4),8,4,5,7,0,50,62,88,0,43,253,62,0,0,3,3,2,0,0,0,0,38,38,25,0,0
 Wokingham Road (RG6),104,45,10,82,27,43,10,79,26,50,290,61,0,10,31,28,25,8,2,0,10,30,27,24,8,2
 Wolseley Street (RG1),77,3,1,60,6,4,1,78,8,57,327,58,0,0,14,41,17,3,2,0,0,18,53,22,4,3
 Wolsey Road (RG4),12,1,7,10,0,8,58,83,0,52,302,61,0,0,3,7,1,1,0,0,0,25,58,8,8,0
 Wood Green Close (RG30),6,0,0,5,0,0,0,83,0,44,239,63,0,0,2,3,1,0,0,0,0,33,50,17,0,0
 Woodberry Close (RG4),4,2,3,3,0,50,75,75,0,47,256,60,0,0,0,3,1,0,0,0,0,0,75,25,0,0
 Woodcote Road (RG4),79,6,22,53,0,8,28,67,0,51,282,55,0,0,6,41,21,11,0,0,0,8,52,27,14,0
 Woodcote Way (RG4),73,9,22,65,0,12,30,89,0,49,276,58,0,0,10,39,22,2,0,0,0,14,53,30,3,0
 Woodford Close (RG4),16,0,9,15,0,0,56,94,0,41,232,62,0,0,3,11,1,1,0,0,0,19,69,6,6,0
 Woodland Close (RG5),13,7,1,13,13,54,8,100,100,14,77,85,0,13,0,0,0,0,0,0,100,0,0,0,0,0
 Woodland Drive (RG30),5,1,3,4,0,20,60,80,0,56,313,54,0,0,1,2,2,0,0,0,0,20,40,40,0,0
 Woodlands Grove (RG4),7,2,4,7,0,29,57,100,0,42,233,63,0,0,1,5,1,0,0,0,0,14,71,14,0,0
 Woodley (RG5),7,2,0,7,7,29,0,100,100,13,75,85,0,7,0,0,0,0,0,0,100,0,0,0,0,0
 Woodman Close (RG2),14,2,11,14,0,14,79,100,0,34,191,71,0,1,9,4,0,0,0,0,7,64,29,0,0,0
 Woodrow Court (RG4),10,10,1,9,0,100,10,90,0,44,246,68,0,0,5,5,0,0,0,0,0,50,50,0,0,0
 Woods Road (RG4),34,5,17,33,10,15,50,97,29,44,256,62,0,5,7,13,6,2,1,0,15,21,38,18,6,3
 Woodside Way (RG2),3,0,2,3,0,0,67,100,0,42,231,62,0,0,2,0,1,0,0,0,0,67,0,33,0,0
 Woodstock Street (RG1),13,0,0,10,0,0,0,77,0,61,354,53,0,0,1,7,4,0,1,0,0,8,54,31,0,8
 Woolacombe Drive (RG6),13,2,4,12,5,15,31,92,38,34,198,68,0,0,6,6,1,0,0,0,0,46,46,8,0,0
 Woolhampton Way (RG2),33,33,33,33,33,100,100,100,100,13,73,85,0,33,0,0,0,0,0,0,100,0,0,0,0,0
 Wootton Close (RG31),3,0,0,3,0,0,0,100,0,59,336,55,0,0,0,2,1,0,0,0,0,0,67,33,0,0
 Worcester Close (RG30),20,4,10,18,0,20,50,90,0,50,279,60,0,0,4,13,3,0,0,0,0,20,65,15,0,0
 Wordsworth Court (RG4),24,24,24,24,0,100,100,100,0,33,178,74,0,1,22,1,0,0,0,0,4,92,4,0,0,0
 Wrenfield Drive (RG4),22,6,15,22,1,27,68,100,5,44,253,63,0,0,8,10,4,0,0,0,0,36,45,18,0,0
 Wrenswood Close (RG2),42,11,34,41,0,26,81,98,0,44,247,67,0,0,26,13,2,1,0,0,0,62,31,5,2,0
 Wychcotes (RG4),5,1,1,5,0,20,20,100,0,42,233,60,0,1,1,0,3,0,0,0,20,20,0,60,0,0
 Wye Close (RG30),28,7,17,26,4,25,61,93,14,48,267,66,0,0,16,11,1,0,0,0,0,57,39,4,0,0
 Wykeham Road (RG6),151,11,8,124,0,7,5,82,0,54,307,59,0,1,15,105,24,3,3,0,1,10,70,16,2,2
 Wynford Close (RG30),2,0,2,2,0,0,100,100,0,45,254,62,0,0,0,2,0,0,0,0,0,0,100,0,0,0
 Yarnton Close (RG4),9,1,4,7,0,11,44,78,0,46,251,59,0,0,1,6,2,0,0,0,0,11,67,22,0,0
 Yelverton Road (RG2),11,0,6,9,0,0,55,82,0,63,348,59,0,0,3,4,3,1,0,0,0,27,36,27,9,0
 Yew Lane (RG1),40,9,0,23,5,22,0,58,12,41,231,68,0,0,23,14,3,0,0,0,0,58,35,8,0,0
 York Road (RG1),86,8,0,71,2,9,0,83,2,58,331,58,0,0,8,57,15,5,1,0,0,9,66,17,6,1
 Zinzan Street (RG1),36,24,3,29,1,67,8,81,3,46,273,64,0,0,15,15,4,1,1,0,0,42,42,11,3,3
 ground floor (RG30),1,1,0,0,0,100,0,0,0,52,297,65,0,0,0,1,0,0,0,0,0,0,100,0,0,0
A Arun Court (RG30),1,1,0,1,0,100,0,100,0,63,417,37,0,0,0,0,0,1,0,0,0,0,0,0,100,0
A I T Partnership Group (RG1),1,0,0,1,0,0,0,100,0,28,160,71,0,0,1,0,0,0,0,0,0,100,0,0,0,0
A Tamar Court (RG30),1,1,0,1,0,100,0,100,0,79,448,59,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Abbotsmead Place (RG4),17,17,17,17,17,100,100,100,100,12,67,84,0,17,0,0,0,0,0,0,100,0,0,0,0,0
Academy Court (RG4),8,4,0,8,0,50,0,100,0,27,164,83,0,8,0,0,0,0,0,0,100,0,0,0,0,0
Alastair Nicholas Court (RG1),3,3,0,0,0,100,0,0,0,41,236,69,0,0,2,1,0,0,0,0,0,67,33,0,0,0
Alexandra Road (RG1),5,5,0,5,0,100,0,100,0,63,391,67,0,0,1,4,0,0,0,0,0,20,80,0,0,0
Alfred Street (RG1),1,1,0,1,1,100,0,100,100,19,116,87,0,1,0,0,0,0,0,0,100,0,0,0,0,0
Allt Wen (RG4),2,1,2,2,1,50,100,100,50,18,94,82,0,1,1,0,0,0,0,0,50,50,0,0,0,0
Almshouses (RG1),13,13,0,0,0,100,0,0,0,64,366,59,0,0,0,11,2,0,0,0,0,0,85,15,0,0
Alpine House (RG1),2,0,0,1,0,0,0,50,0,86,501,50,0,0,0,0,2,0,0,0,0,0,0,100,0,0
Ambar House (RG4),2,1,0,2,2,50,0,100,100,22,144,74,0,0,2,0,0,0,0,0,0,100,0,0,0,0
Amblerthorne (RG4),1,0,0,1,0,0,0,100,0,37,190,63,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Amherst Road (RG6),5,4,0,5,2,80,0,100,40,45,270,72,0,0,4,1,0,0,0,0,0,80,20,0,0,0
Andrew Jackson Osteopath (RG1),1,0,0,0,0,0,0,0,0,42,262,53,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Annex (RG30),1,0,0,1,1,0,0,100,100,51,288,73,0,0,1,0,0,0,0,0,0,100,0,0,0,0
"Annexe (RG2, RG30, RG31, RG4)",14,3,3,13,6,21,21,93,43,62,356,63,0,0,7,4,2,1,0,0,0,50,29,14,7,0
Anstey Road (RG1),1,1,0,1,0,100,0,100,0,32,167,72,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Appleford Road (RG30),17,17,8,17,0,100,47,100,0,43,248,74,0,1,16,0,0,0,0,0,6,94,0,0,0,0
April Ridge (RG4),1,0,0,1,0,0,0,100,0,37,191,66,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Arctic House (RG4),1,0,1,1,0,0,100,100,0,14,103,74,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Armour Hill (RG31),14,14,0,14,2,100,0,100,14,35,195,74,0,0,13,1,0,0,0,0,0,93,7,0,0,0
Armour Road (RG31),4,3,0,4,1,75,0,100,25,22,118,79,0,0,4,0,0,0,0,0,0,100,0,0,0,0
B (RG30),2,2,0,2,1,100,0,100,50,58,341,66,0,0,0,2,0,0,0,0,0,0,100,0,0,0
B Tamar Court (RG30),1,1,0,1,0,100,0,100,0,67,376,65,0,0,0,1,0,0,0,0,0,0,100,0,0,0
"BASEMENT FLAT (RG1, RG30)",10,10,0,8,0,100,0,80,0,54,312,63,0,0,3,5,2,0,0,0,0,30,50,20,0,0
Bailiffs Cottage (RG1),1,0,0,0,0,0,0,0,0,75,429,35,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Ballihoo (RG4),2,0,0,2,1,0,0,100,50,38,217,63,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Balmore Park (RG4),13,13,0,13,2,100,0,100,15,62,379,64,0,0,4,9,0,0,0,0,0,31,69,0,0,0
Bank House (RG1),1,1,1,1,0,100,100,100,0,35,209,74,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Bargain Travel (RG1),1,0,1,1,0,0,100,100,0,30,155,70,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Barons (RG4),1,0,0,1,0,0,0,100,0,47,268,61,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Barrett & Co (RG1),1,1,1,1,1,100,100,100,100,27,140,74,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Basement (RG1),6,6,0,5,0,100,0,83,0,48,290,68,0,0,4,1,1,0,0,0,0,67,17,17,0,0
Basement Apartment (RG1),1,1,0,1,0,100,0,100,0,37,213,73,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Basement Back (RG1),1,1,0,1,0,100,0,100,0,83,550,45,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Basement Front (RG1),2,2,0,2,0,100,0,100,0,84,492,56,0,0,0,1,1,0,0,0,0,0,50,50,0,0
Basement Rear (RG1),1,1,0,1,0,100,0,100,0,102,530,66,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Basingstoke Road (RG2),7,7,0,7,6,100,0,100,86,24,138,79,0,3,4,0,0,0,0,0,43,57,0,0,0,0
Battle Square (RG30),21,19,0,21,11,90,0,100,52,33,206,76,0,9,11,1,0,0,0,0,43,52,5,0,0,0
Bay Tree House (RG1),2,0,0,0,0,0,0,0,0,73,392,35,0,0,0,0,0,2,0,0,0,0,0,0,100,0
Bedwyn Mews (RG2),27,27,27,27,25,100,100,100,93,28,168,76,0,0,27,0,0,0,0,0,0,100,0,0,0,0
Belstone (RG4),1,1,0,0,0,100,0,0,0,55,299,47,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Berkeley Avenue (RG1),7,7,0,1,0,100,0,14,0,45,248,71,0,0,6,1,0,0,0,0,0,86,14,0,0,0
Berry Brook Cottage (RG4),1,0,0,1,1,0,0,100,100,30,171,75,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Blagdon Road (RG2),13,11,0,13,0,85,0,100,0,61,370,62,0,0,3,7,3,0,0,0,0,23,54,23,0,0
Blagrave Barn (RG4),2,0,0,2,0,0,0,100,0,44,262,67,0,0,1,1,0,0,0,0,0,50,50,0,0,0
Blagrave Farmhouse (RG4),2,0,0,2,1,0,0,100,50,22,127,73,0,0,2,0,0,0,0,0,0,100,0,0,0,0
Blagrave Lodge (RG4),2,0,0,2,1,0,0,100,50,30,169,69,0,0,2,0,0,0,0,0,0,100,0,0,0,0
Blenheim Road (RG1),4,4,0,4,0,100,0,100,0,78,486,56,0,0,0,3,1,0,0,0,0,0,75,25,0,0
Blewgarth (RG4),1,0,0,1,0,0,0,100,0,53,271,51,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Bon Accord (RG30),2,0,1,2,0,0,50,100,0,46,248,62,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Boston Builders (RG1),1,0,0,1,0,0,0,100,0,43,225,60,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Boults Walk (RG2),4,4,2,4,4,100,50,100,100,40,250,73,0,0,4,0,0,0,0,0,0,100,0,0,0,0
Bramley (RG1),2,0,0,2,0,0,0,100,0,60,330,48,0,0,0,0,2,0,0,0,0,0,0,100,0,0
Breezes (RG2),1,0,1,1,0,0,100,100,0,61,349,51,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Briary Rose (RG30),1,0,1,1,0,0,100,100,0,47,281,62,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Brigham Road (RG1),44,43,0,44,20,98,0,100,45,27,154,78,0,9,35,0,0,0,0,0,20,80,0,0,0,0
Brindles (RG4),1,0,1,1,0,0,100,100,0,39,160,58,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Brunswick Hill (RG1),4,4,0,4,2,100,0,100,50,30,174,75,0,0,4,0,0,0,0,0,0,100,0,0,0,0
Budleigh (RG31),1,0,0,1,0,0,0,100,0,57,324,54,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Burghfield Road (RG30),7,7,2,6,0,100,29,86,0,70,413,64,0,0,3,2,2,0,0,0,0,43,29,29,0,0
C Hartland Court (RG2),2,2,0,1,0,100,0,50,0,63,400,57,0,0,0,1,1,0,0,0,0,0,50,50,0,0
COACH HOUSE (RG4),1,0,0,0,0,0,0,0,0,74,420,50,0,0,0,0,1,0,0,0,0,0,0,100,0,0
COURTYARD COTTAGE (RG4),1,0,0,0,0,0,0,0,0,56,259,27,0,0,0,0,0,1,0,0,0,0,0,0,100,0
CRAWFORDJOHN (RG4),1,0,0,1,0,0,0,100,0,36,168,44,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Castle Street (RG1),9,9,0,9,4,100,0,100,44,34,202,76,0,0,9,0,0,0,0,0,0,100,0,0,0,0
Castleton (RG2),1,0,1,1,0,0,100,100,0,51,289,60,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Cavendish Road (RG4),7,7,1,7,4,100,14,100,57,45,283,64,0,0,2,5,0,0,0,0,0,29,71,0,0,0
Caversham (RG4),1,0,0,1,0,0,0,100,0,64,350,60,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Caversham House (RG4),5,5,5,5,5,100,100,100,100,18,104,82,0,5,0,0,0,0,0,0,100,0,0,0,0,0
Caversham Lock House (RG1),1,0,0,1,0,0,0,100,0,123,693,8,0,0,0,0,0,0,1,0,0,0,0,0,0,100
Caversham Road (RG1),22,21,0,20,19,95,0,91,86,30,178,78,0,10,10,1,0,1,0,0,45,45,5,0,5,0
Centre Lodge (RG2),1,0,0,0,0,0,0,0,0,59,319,49,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Charles Street (RG1),1,1,0,1,0,100,0,100,0,44,264,79,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Charlotte Close (RG4),7,7,0,7,7,100,0,100,100,22,131,82,0,4,3,0,0,0,0,0,57,43,0,0,0,0
Charnwood Cottage (RG4),1,0,1,1,0,0,100,100,0,46,261,60,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Chatham Place (RG1),4,4,0,4,4,100,0,100,100,19,106,82,0,3,1,0,0,0,0,0,75,25,0,0,0,0
Chatham Street (RG1),3,3,0,3,3,100,0,100,100,22,122,79,0,0,3,0,0,0,0,0,0,100,0,0,0,0
Chazey Bank (RG4),1,0,1,1,0,0,100,100,0,32,179,62,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Chazey Court Farm House (RG4),3,0,0,0,0,0,0,0,0,62,293,36,0,0,0,0,2,1,0,0,0,0,0,67,33,0
Cheapside (RG1),10,9,0,10,9,90,0,100,90,26,154,79,0,4,5,1,0,0,0,0,40,50,10,0,0,0
Cherrycroft (RG4),2,1,0,2,0,50,0,100,0,50,318,52,0,0,0,1,0,1,0,0,0,0,50,0,50,0
Church House (RG31),3,0,0,3,0,0,0,100,0,61,341,48,0,0,0,0,3,0,0,0,0,0,0,100,0,0
Church Street (RG1),4,4,0,2,2,100,0,50,50,47,314,54,0,0,0,2,2,0,0,0,0,0,50,50,0,0
Coach House (RG1),1,0,0,1,0,0,0,100,0,135,801,8,0,0,0,0,0,0,1,0,0,0,0,0,0,100
Coley Hill Court (RG1),1,1,0,1,0,100,0,100,0,37,191,70,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Colliers Way (RG30),6,6,1,6,0,100,17,100,0,59,347,55,0,0,2,1,2,1,0,0,0,33,17,33,17,0
Collis Mews (RG2),3,0,0,3,2,0,0,100,67,80,512,46,0,0,0,1,2,0,0,0,0,0,33,67,0,0
Concord (RG4),1,0,1,1,0,0,100,100,0,33,227,69,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Conifers (RG4),1,0,1,1,0,0,100,100,0,28,170,74,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Connaught House (RG30),20,20,6,20,20,100,30,100,100,59,349,64,0,0,2,18,0,0,0,0,0,10,90,0,0,0
Connaught Road (RG30),7,7,0,7,7,100,0,100,100,21,120,82,0,4,3,0,0,0,0,0,57,43,0,0,0,0
Cornerways (RG4),2,0,1,2,0,0,50,100,0,32,172,68,0,0,1,1,0,0,0,0,0,50,50,0,0,0
Coronation Square (RG30),1,1,0,1,1,100,0,100,100,22,127,79,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Courtyard Cottage (RG4),1,0,0,0,0,0,0,0,0,85,509,38,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Craig Avenue (RG30),2,2,0,2,2,100,0,100,100,24,148,82,0,2,0,0,0,0,0,0,100,0,0,0,0,0
Craig House (RG30),1,1,0,1,0,100,0,100,0,34,195,73,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Crane Wharf (RG1),12,12,0,12,9,100,0,100,75,35,201,72,0,2,4,6,0,0,0,0,17,33,50,0,0,0
Creek House (RG4),1,0,0,1,0,0,0,100,0,26,144,76,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Crescent Court (RG1),3,3,1,3,0,100,33,100,0,100,617,39,0,0,0,1,0,2,0,0,0,0,33,0,67,0
Crescent Road (RG1),9,9,0,9,0,100,0,100,0,87,557,52,0,0,1,3,3,2,0,0,0,11,33,33,22,0
Crombies Oak (RG4),1,0,0,1,0,0,0,100,0,43,221,63,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Cumberland Villa (RG1),1,1,0,1,1,100,0,100,100,29,154,76,0,0,1,0,0,0,0,0,0,100,0,0,0,0
DEUXANS (RG4),1,0,0,1,0,0,0,100,0,57,323,56,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Dale Road (RG2),24,23,0,24,3,96,0,100,12,70,440,64,0,0,7,13,4,0,0,0,0,29,54,17,0,0
De Montfort Road (RG1),8,3,0,7,2,38,0,88,25,38,221,72,0,0,7,1,0,0,0,0,0,88,12,0,0,0
Deanayes House (RG4),2,0,0,2,1,0,0,100,50,28,201,63,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Deans Farm Cottage (RG4),1,0,0,1,0,0,0,100,0,40,265,58,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Derby Road (RG4),7,7,1,7,6,100,14,100,86,27,160,77,0,2,4,1,0,0,0,0,29,57,14,0,0,0
Design Marking (RG31),1,0,0,1,0,0,0,100,0,61,415,37,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Devonshire Lodge (RG2),1,1,0,0,0,100,0,0,0,60,310,53,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Doctors Surgery (RG4),2,0,0,1,0,0,0,50,0,87,440,34,0,0,0,1,0,0,1,0,0,0,50,0,0,50
Donaldswood (RG4),2,0,0,0,0,0,0,0,0,47,267,54,0,0,0,1,1,0,0,0,0,0,50,50,0,0
Donnington Road (RG1),2,2,0,2,1,100,0,100,50,34,177,70,0,0,2,0,0,0,0,0,0,100,0,0,0,0
Drake Way (RG2),39,39,19,39,37,100,49,100,95,24,137,79,0,10,29,0,0,0,0,0,26,74,0,0,0,0
Dyfri (RG4),1,0,0,1,0,0,0,100,0,56,293,53,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Earlsland (RG1),1,0,1,0,0,0,100,0,0,35,198,69,0,0,1,0,0,0,0,0,0,100,0,0,0,0
East Street (RG1),8,8,0,8,7,100,0,100,88,24,133,78,0,2,6,0,0,0,0,0,25,75,0,0,0,0
Ecocleen (RG2),1,0,0,1,0,0,0,100,0,54,279,58,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Edinburgh Road (RG30),5,5,1,5,2,100,20,100,40,37,208,75,0,1,4,0,0,0,0,0,20,80,0,0,0,0
Elizabeth House (RG4),1,1,0,1,0,100,0,100,0,48,286,66,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Elliots Way (RG4),2,2,0,2,1,100,0,100,50,26,150,78,0,0,2,0,0,0,0,0,0,100,0,0,0,0
Emmanual House (RG1),2,0,0,2,0,0,0,100,0,81,446,48,0,0,0,0,2,0,0,0,0,0,0,100,0,0
Emmanuel House (RG1),8,1,0,7,0,12,0,88,0,72,421,68,0,0,5,2,1,0,0,0,0,62,25,12,0,0
Erleigh Road (RG1),3,2,0,0,0,67,0,0,0,55,293,62,0,0,1,2,0,0,0,0,0,33,67,0,0,0
Everest (RG30),1,0,1,1,0,0,100,100,0,56,234,57,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Ex Cantibus Gaudium (RG4),1,0,0,0,0,0,0,0,0,89,488,29,0,0,0,0,0,1,0,0,0,0,0,0,100,0
FLAT (RG30),1,0,0,1,0,0,0,100,0,59,333,55,0,0,0,1,0,0,0,0,0,0,100,0,0,0
